id;cian_id;name;review_count;total_rate;buildings_count;foundation_year;is_reliable;created_at;updated_at
1;3184068;;;;;;;2024-10-28 22:20:10.108403;2024-11-01 14:41:24.798441
2;3270867;STRABAG;4;3.0;0;2006;False;2024-10-28 22:20:33.053687;2024-11-01 14:41:26.254114
3;140926344;;;;;;;2024-10-28 22:20:53.714797;2024-11-01 14:41:27.072197
4;149566184;Glincom;140;4.1;7;2013;False;2024-10-28 22:21:20.305606;2024-11-01 14:41:27.700398
5;150959906;;;;;;;2024-10-28 22:21:49.995669;2024-11-01 14:41:28.687122
6;151243629;Capital Group;467;4.4;141;1993;False;2024-10-28 22:22:11.207781;2024-11-01 14:41:29.870742
7;151426554;;;;;;;2024-10-28 22:22:38.438436;2024-11-01 14:41:35.507520
8;152725255;Домострой-недвижимость;0;0.0;0;1994;False;2024-10-28 22:22:50.880951;2024-11-01 14:41:36.978212
9;152953585;ДОНСТРОЙ;1390;4.6;1022;1994;False;2024-10-28 22:23:04.145004;2024-11-01 14:41:37.677488
10;152953661;ДОНСТРОЙ;1390;4.6;1022;1994;False;2024-10-28 22:23:28.421210;2024-11-01 14:41:38.410756
11;152953734;ДОНСТРОЙ;1390;4.6;1022;1994;False;2024-10-28 22:23:55.178140;2024-11-01 14:41:39.197674
12;153450136;Вессо-линк;0;0.0;0;1992;False;2024-10-28 22:24:16.813341;2024-11-01 14:41:40.595404
13;159979025;;;;;;;2024-10-28 22:24:27.660702;2024-11-01 14:41:46.316366
14;163021767;ДОНСТРОЙ;1390;4.6;1022;1994;False;2024-10-28 22:24:48.243813;2024-11-01 14:41:47.693374
15;164011436;;;;;;;2024-10-28 22:25:09.514874;2024-11-01 14:41:48.444207
16;164353514;;;;;;;2024-10-28 22:25:35.158870;2024-11-01 14:41:49.218241
17;164416029;;;;;;;2024-10-28 22:26:03.015734;2024-11-01 14:41:49.846394
18;165105530;;;;;;;2024-10-28 22:26:15.982744;2024-11-01 14:41:51.181391
19;165355018;;;;;;;2024-10-28 22:26:41.580270;2024-11-01 14:41:57.045230
20;165699931;;;;;;;2024-10-28 22:27:09.632424;2024-11-01 14:41:58.387405
21;166434310;;;;;;;2024-10-28 22:27:27.125187;2024-11-01 14:41:59.003892
22;167168480;;;;;;;2024-10-28 22:27:56.434601;2024-11-01 14:41:59.924938
23;168222461;;;;;;;2024-10-28 22:28:17.122269;2024-11-01 14:42:00.817830
24;168743960;Concord Development;0;0.0;0;1997;False;2024-10-28 22:28:32.091482;2024-11-01 14:42:02.007539
25;169092708;;;;;;;2024-10-28 22:28:42.803350;2024-11-01 14:42:08.108139
26;169568802;;;;;;;2024-10-28 22:29:09.712280;2024-11-01 14:42:09.041595
27;170637417;;;;;;;2024-10-28 22:29:31.503328;2024-11-01 14:42:09.676296
28;171750307;;;;;;;2024-10-28 22:29:57.531435;2024-11-01 14:42:10.546690
29;177562997;;;;;;;2024-10-28 22:30:34.360593;2024-11-01 14:42:11.214953
30;177577242;;;;;;;2024-10-28 22:30:52.071647;2024-11-01 14:42:12.964457
31;179176213;;;;;;;2024-10-28 22:31:03.853085;2024-11-01 14:42:18.947142
32;181514552;ДОНСТРОЙ;1390;4.6;1022;1994;False;2024-10-28 22:31:26.245628;2024-11-01 14:42:19.635490
33;181669146;Роскомстрой Недвижимость;10;4.2;0;;False;2024-10-28 22:31:36.830181;2024-11-01 14:42:20.396920
34;182376736;;;;;;;2024-10-28 22:31:54.391058;2024-11-01 14:42:21.473887
35;182550005;;;;;;;2024-10-28 22:33:27.499579;2024-11-01 14:42:22.366283
36;183938343;MIRAX GROUP;1;4.0;0;1994;False;2024-10-28 22:33:55.087460;2024-11-01 14:42:23.667523
37;187368517;;;;;;;2024-10-28 22:34:21.833545;2024-11-01 14:42:30.034028
38;190263864;;;;;;;2024-10-28 22:34:34.973606;2024-11-01 14:42:30.710746
39;191199132;;;;;;;2024-10-28 22:34:55.820044;2024-11-01 14:42:31.830939
40;191273595;;;;;;;2024-10-28 22:35:07.926648;2024-11-01 14:42:32.485672
41;192707468;;;;;;;2024-10-28 22:35:19.187010;2024-11-01 14:42:33.044479
42;192784540;;;;;;;2024-10-28 22:35:36.462791;2024-11-01 14:42:34.294590
43;194036691;;;;;;;2024-10-28 22:36:02.465814;2024-11-01 14:42:40.882162
44;194429125;Capital Group;467;4.4;141;1993;False;2024-10-28 22:36:18.063270;2024-11-01 14:42:41.664782
45;195907938;;;;;;;2024-10-28 22:36:33.404626;2024-11-01 14:42:42.737745
46;196482679;;;;;;;2024-10-28 22:36:57.322679;2024-11-01 14:42:43.340204
47;196903723;;;;;;;2024-10-28 22:37:12.446293;2024-11-01 14:42:44.099307
48;197214440;Снегири;3;4.3;3;1992;False;2024-10-28 22:37:24.031258;2024-11-01 14:42:45.037333
49;197699645;;;;;;;2024-10-28 22:37:48.964546;2024-11-01 14:42:51.555324
50;198144198;Главмосстрой-недвижимость;12;3.4;0;;False;2024-10-28 22:38:18.892522;2024-11-01 14:42:52.576541
51;198782509;;;;;;;2024-10-28 22:38:35.903761;2024-11-01 14:42:53.457558
52;199432455;;;;;;;2024-10-28 22:38:49.378027;2024-11-01 14:42:54.140622
53;200212370;;;;;;;2024-10-28 22:39:19.310753;2024-11-01 14:42:54.813747
54;200828608;Clayton&Boyers;;;0;;False;2024-10-28 22:39:45.619200;2024-11-01 14:42:55.562628
55;201225506;;;;;;;2024-10-28 22:40:14.217904;2024-11-01 14:43:02.277146
56;201379486;;;;;;;2024-10-28 22:40:33.222986;2024-11-01 14:43:03.316019
57;202436594;ГУТА-ДЕВЕЛОПМЕНТ;2;3.0;0;2005;False;2024-10-28 22:41:07.530969;2024-11-01 14:43:04.068697
58;203074317;;;;;;;2024-10-28 22:41:25.950174;2024-11-01 14:43:04.660512
59;203819272;ГУТА-ДЕВЕЛОПМЕНТ;2;3.0;0;2005;False;2024-10-28 22:41:40.929239;2024-11-01 14:43:05.891854
60;204124494;;;;;;;2024-10-28 22:41:59.101560;2024-11-01 14:43:06.557316
61;204969322;;;;;;;2024-10-28 22:42:16.398575;2024-11-01 14:43:12.826962
62;205475369;ИНТЕКО;166;4.5;3;2001;False;2024-10-28 22:42:32.816435;2024-11-01 14:43:14.008963
63;206466216;;;;;;;2024-10-28 22:43:01.516697;2024-11-01 14:43:14.977649
64;207555074;;;;;;;2024-10-28 22:43:16.737476;2024-11-01 14:43:16.000638
65;207687609;;;;;;;2024-10-28 22:43:32.204324;2024-11-01 14:43:16.699763
66;207924488;ГК Квартал;2;5.0;0;1993;False;2024-10-28 22:43:51.658117;2024-11-01 14:43:17.472895
67;208500430;КОРТРОС;401;4.2;1777;2006;False;2024-10-28 22:44:07.504991;2024-11-01 14:43:26.317660
68;209040594;Башня Федерация;14;3.9;0;2002;False;2024-10-28 22:44:34.702351;2024-11-01 14:43:26.972754
69;209040915;Башня Федерация;14;3.9;0;2002;False;2024-10-28 22:44:59.586822;2024-11-01 14:43:28.162004
70;209082460;Башня Федерация;14;3.9;0;2002;False;2024-10-28 22:45:17.758243;2024-11-01 14:43:28.805193
71;209735944;;;;;;;2024-10-28 22:45:32.877279;2024-11-01 14:43:29.443431
72;210047241;КОРТРОС;401;4.2;1777;2006;False;2024-10-28 22:51:03.489249;2024-11-01 14:43:30.271005
73;210880477;;;;;;;2024-10-28 22:51:31.125962;2024-11-01 14:43:37.270414
74;210884814;;;;;;;2024-10-28 22:51:53.877841;2024-11-01 14:43:38.492482
75;211463786;Capital Group;467;4.4;141;1993;False;2024-10-28 22:52:22.187003;2024-11-01 14:43:39.359670
76;211521310;AFI Development;615;4.2;974;2001;False;2024-10-28 22:52:38.983149;2024-11-01 14:43:40.019480
77;211524760;MR Group;2059;4.3;3525;2003;False;2024-10-28 22:52:59.663905;2024-10-28 22:52:59.663905
78;211851806;Галс-Девелопмент;195;4.7;111;1994;False;2024-10-28 22:53:20.642405;2024-11-01 14:44:41.317087
79;211905568;;;;;;;2024-10-28 22:53:49.486244;2024-11-01 14:44:42.085945
80;212568784;;;;;;;2024-10-28 22:54:17.502359;2024-11-01 14:44:48.480763
81;215547130;;;;;;;2024-10-28 22:54:32.413066;2024-11-01 14:44:49.413584
82;216269282;;;;;;;2024-10-28 22:54:52.915985;2024-11-01 14:44:50.422515
83;217701600;;;;;;;2024-10-28 22:55:23.503080;2024-11-01 14:44:51.178356
84;217724612;Абсолют Недвижимость;513;4.6;1981;1990;False;2024-10-28 22:55:46.495597;2024-11-01 14:44:52.829936
85;217791998;Башня Федерация;14;3.9;0;2002;False;2024-10-28 22:56:38.276092;2024-11-01 14:44:59.059119
