id;cian_id;realty_type;project_type;heat_type;gas_type;is_apartment;is_penthouse;is_mortgage_allowed;is_premium;is_emergency;renovation_programm;finish_date;created_at;updated_at
1;3184068;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:20:10.108403;2024-11-01 14:41:24.782830
2;3270867;flat;;central;without;False;False;False;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 22:20:33.053687;2024-11-01 14:41:26.243116
3;140926344;flat;Индивидуальный проект;central;without;False;;False;False;False;False;;2024-10-28 22:20:53.714797;2024-11-01 14:41:27.061239
4;149566184;flat;;none;unknown;True;;True;False;False;False;{'year': 2016, 'quarter': 3};2024-10-28 22:21:20.305606;2024-11-01 14:41:27.684447
5;150959906;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:21:49.995669;2024-11-01 14:41:28.675466
6;151243629;flat;Индивидуальный проект;itp;without;False;False;;False;False;False;{'year': 2008, 'quarter': 1};2024-10-28 22:22:11.207781;2024-11-01 14:41:29.856263
7;151426554;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 22:22:38.438436;2024-11-01 14:41:35.494648
8;152725255;flat;Индивидуальный проект;itp;without;False;False;True;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 22:22:50.880951;2024-11-01 14:41:36.964274
9;152953585;flat;Индивидуальный проект;itp;without;False;;;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 22:23:04.145004;2024-11-01 14:41:37.668475
10;152953661;flat;Индивидуальный проект;itp;without;False;;;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 22:23:28.421210;2024-11-01 14:41:38.399716
11;152953734;flat;Индивидуальный проект;itp;without;False;;;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 22:23:55.178140;2024-11-01 14:41:39.184805
12;153450136;flat;;central;without;False;;;False;False;False;{'year': 2009, 'quarter': 2};2024-10-28 22:24:16.813341;2024-11-01 14:41:40.581833
13;159979025;flat;П-44;central;without;False;False;True;False;False;False;;2024-10-28 22:24:27.660702;2024-11-01 14:41:46.304551
14;163021767;flat;Индивидуальный проект;central;without;False;;;False;False;False;{'year': 2009, 'quarter': 4};2024-10-28 22:24:48.243813;2024-11-01 14:41:47.678809
15;164011436;flat;;;;True;;;False;;;;2024-10-28 22:25:09.514874;2024-11-01 14:41:48.434016
16;164353514;flat;П-111М;central;without;False;;True;False;False;False;;2024-10-28 22:25:35.158870;2024-11-01 14:41:49.208046
17;164416029;flat;Индивидуальный проект;central;central;False;False;True;False;False;False;;2024-10-28 22:26:03.015734;2024-11-01 14:41:49.831099
18;165105530;flat;;itp;without;False;False;True;False;False;False;;2024-10-28 22:26:15.982744;2024-11-01 14:41:51.170733
19;165355018;flat;П-44;central;without;False;;True;False;False;False;;2024-10-28 22:26:41.580270;2024-11-01 14:41:57.030436
20;165699931;flat;;central;without;False;;True;False;False;False;;2024-10-28 22:27:09.632424;2024-11-01 14:41:58.374894
21;166434310;flat;П-46М;central;without;False;False;False;False;False;False;;2024-10-28 22:27:27.125187;2024-11-01 14:41:58.992634
22;167168480;flat;Индивидуальный проект;none;unknown;False;;True;False;False;False;;2024-10-28 22:27:56.434601;2024-11-01 14:41:59.912966
23;168222461;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:28:17.122269;2024-11-01 14:42:00.802069
24;168743960;flat;Индивидуальный проект;central;central;False;;True;False;False;False;{'year': 1998, 'quarter': 2};2024-10-28 22:28:32.091482;2024-11-01 14:42:01.994358
25;169092708;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;;2024-10-28 22:28:42.803350;2024-11-01 14:42:08.097176
26;169568802;flat;Индивидуальный проект;central;without;True;;True;False;False;False;;2024-10-28 22:29:09.712280;2024-11-01 14:42:09.024337
27;170637417;flat;Индивидуальный проект;central;central;False;;;False;False;False;;2024-10-28 22:29:31.503328;2024-11-01 14:42:09.662379
28;171750307;flat;П-111М;central;unknown;False;;True;False;False;False;;2024-10-28 22:29:57.531435;2024-11-01 14:42:10.534442
29;177562997;flat;Индивидуальный проект;central;central;False;False;;False;False;False;;2024-10-28 22:30:34.360593;2024-11-01 14:42:11.199742
30;177577242;flat;П-42;central;without;False;;True;False;False;False;;2024-10-28 22:30:52.071647;2024-11-01 14:42:12.952925
31;179176213;flat;;none;unknown;;False;True;False;False;False;;2024-10-28 22:31:03.853085;2024-11-01 14:42:18.931318
32;181514552;flat;;none;unknown;True;False;;False;False;False;{'year': 2015, 'quarter': 3};2024-10-28 22:31:26.245628;2024-11-01 14:42:19.622975
33;181669146;flat;Индивидуальный проект;central;without;False;False;False;False;False;False;{'year': 2011, 'quarter': 4};2024-10-28 22:31:36.830181;2024-11-01 14:42:20.384988
34;182376736;flat;1МГ-601;central;central;False;False;True;False;False;False;;2024-10-28 22:31:54.391058;2024-11-01 14:42:21.464254
35;182550005;flat;КОПЭ;central;unknown;False;;True;False;False;False;;2024-10-28 22:33:27.499579;2024-11-01 14:42:22.354715
36;183938343;flat;;itp;without;False;;True;False;False;False;{'year': 0, 'quarter': 0};2024-10-28 22:33:55.087460;2024-11-01 14:42:23.657002
37;187368517;flat;Индивидуальный проект;itp;without;False;;False;False;False;False;;2024-10-28 22:34:21.833545;2024-11-01 14:42:30.020276
38;190263864;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:34:34.973606;2024-11-01 14:42:30.699286
39;191199132;flat;И-209А;central;without;False;;False;False;False;False;;2024-10-28 22:34:55.820044;2024-11-01 14:42:31.820895
40;191273595;flat;;central;without;False;;True;False;False;False;;2024-10-28 22:35:07.926648;2024-11-01 14:42:32.476023
41;192707468;flat;;central;central;False;;True;False;False;True;;2024-10-28 22:35:19.187010;2024-11-01 14:42:33.034224
42;192784540;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 22:35:36.462791;2024-11-01 14:42:34.283803
43;194036691;flat;1-510;central;central;False;False;True;False;False;True;;2024-10-28 22:36:02.465814;2024-11-01 14:42:40.869847
44;194429125;flat;;itp;without;False;;False;False;False;False;{'year': 2010, 'quarter': 1};2024-10-28 22:36:18.063270;2024-11-01 14:42:41.654247
45;195907938;flat;Индивидуальный проект;central;central;False;;True;False;False;False;;2024-10-28 22:36:33.404626;2024-11-01 14:42:42.718919
46;196482679;flat;;central;without;False;;True;False;False;False;;2024-10-28 22:36:57.322679;2024-11-01 14:42:43.327848
47;196903723;flat;И-209А;central;without;False;;True;False;False;False;;2024-10-28 22:37:12.446293;2024-11-01 14:42:44.087504
48;197214440;flat;;itp;without;False;;False;False;False;False;{'year': 2010, 'quarter': 2};2024-10-28 22:37:24.031258;2024-11-01 14:42:45.025471
49;197699645;flat;;autonomousBoiler;without;False;False;True;False;False;False;;2024-10-28 22:37:48.964546;2024-11-01 14:42:51.543843
50;198144198;flat;Индивидуальный проект;central;without;False;;True;False;False;False;{'year': 2012, 'quarter': 4};2024-10-28 22:38:18.892522;2024-11-01 14:42:52.565624
51;198782509;flat;;;;;False;True;False;;;;2024-10-28 22:38:35.903761;2024-11-01 14:42:53.445863
52;199432455;flat;;central;central;False;;True;False;False;False;;2024-10-28 22:38:49.378027;2024-11-01 14:42:54.124130
53;200212370;flat;Индивидуальный проект;central;unknown;False;;True;False;False;False;;2024-10-28 22:39:19.310753;2024-11-01 14:42:54.803638
54;200828608;flat;Индивидуальный проект;itp;without;;False;True;False;False;False;{'year': 2015, 'quarter': 3};2024-10-28 22:39:45.619200;2024-11-01 14:42:55.552123
55;201225506;flat;ii-68;central;central;False;False;True;False;False;False;;2024-10-28 22:40:14.217904;2024-11-01 14:43:02.266223
56;201379486;flat;;;;False;;False;False;;;;2024-10-28 22:40:33.222986;2024-11-01 14:43:03.303682
57;202436594;flat;Индивидуальный проект;central;without;;False;True;False;False;False;{'year': 2011, 'quarter': 3};2024-10-28 22:41:07.530969;2024-11-01 14:43:04.057779
58;203074317;flat;;central;central;;False;True;False;False;False;;2024-10-28 22:41:25.950174;2024-11-01 14:43:04.649815
59;203819272;flat;Индивидуальный проект;central;without;False;False;True;False;False;False;{'year': 2011, 'quarter': 3};2024-10-28 22:41:40.929239;2024-11-01 14:43:05.878439
60;204124494;flat;П-44Т;central;without;False;;True;False;False;False;;2024-10-28 22:41:59.101560;2024-11-01 14:43:06.545898
61;204969322;flat;П-3М;central;without;False;;True;False;False;False;;2024-10-28 22:42:16.398575;2024-11-01 14:43:12.817270
62;205475369;flat;П-3М;central;without;False;False;True;False;False;False;{'year': 2008, 'quarter': 4};2024-10-28 22:42:32.816435;2024-11-01 14:43:13.997991
63;206466216;flat;;;;False;;True;False;;;;2024-10-28 22:43:01.516697;2024-11-01 14:43:14.964812
64;207555074;flat;Индивидуальный проект;central;without;False;;True;False;False;False;;2024-10-28 22:43:16.737476;2024-11-01 14:43:15.986447
65;207687609;flat;II-29;central;central;False;;True;False;False;False;;2024-10-28 22:43:32.204324;2024-11-01 14:43:16.683703
66;207924488;flat;Индивидуальный проект;itp;without;False;True;True;False;False;False;{'year': 2001, 'quarter': 1};2024-10-28 22:43:51.658117;2024-11-01 14:43:17.460976
