id;cian_id;repair_type;total_area;living_area;kitchen_area;ceiling_height;balconies;loggias;rooms_count;separated_wc;combined_wc;windows_view;created_at;updated_at
1;3184068;design;220.00;144.40;36.00;3.30;3;1;4;1;2;yardAndStreet;2024-10-28 22:20:10.108403;2024-11-01 14:41:24.693205
2;3270867;design;100.00;51.00;16.00;3.00;1;;2;;2;street;2024-10-28 22:20:33.053687;2024-11-01 14:41:26.230233
3;140926344;euro;51.50;39.00;8.00;3.50;;;2;1;0;yard;2024-10-28 22:20:53.714797;2024-11-01 14:41:27.046033
4;149566184;no;185.50;100.00;30.00;3.50;;;4;;2;yard;2024-10-28 22:21:20.305606;2024-11-01 14:41:27.669072
5;150959906;design;195.40;128.00;13.00;2.80;1;1;6;;2;yard;2024-10-28 22:21:49.995669;2024-11-01 14:41:28.663227
6;151243629;no;109.80;49.00;30.00;;;;3;;2;street;2024-10-28 22:22:11.207781;2024-11-01 14:41:29.838563
7;151426554;no;90.00;67.00;9.00;3.20;;;3;1;;yardAndStreet;2024-10-28 22:22:38.438436;2024-11-01 14:41:35.472942
8;152725255;design;150.00;87.00;16.00;3.00;2;0;4;0;2;yard;2024-10-28 22:22:50.880951;2024-11-01 14:41:36.952120
9;152953585;no;142.60;113.30;15.00;;;;3;;2;;2024-10-28 22:23:04.145004;2024-11-01 14:41:37.658644
10;152953661;no;168.80;125.60;;;;1;4;;3;;2024-10-28 22:23:28.421210;2024-11-01 14:41:38.389440
11;152953734;no;311.40;227.40;;;;2;6;;4;;2024-10-28 22:23:55.178140;2024-11-01 14:41:39.172062
12;153450136;no;245.90;126.00;23.00;3.33;;;4;;4;;2024-10-28 22:24:16.813341;2024-11-01 14:41:40.563560
13;159979025;cosmetic;38.00;18.00;8.00;2.70;1;;1;;1;yard;2024-10-28 22:24:27.660702;2024-11-01 14:41:46.290062
14;163021767;no;82.10;51.00;17.00;;;;3;;2;street;2024-10-28 22:24:48.243813;2024-11-01 14:41:47.667712
15;164011436;design;145.00;95.00;20.00;3.30;;;3;;3;yardAndStreet;2024-10-28 22:25:09.514874;2024-11-01 14:41:48.421665
16;164353514;euro;54.70;34.00;11.00;2.70;;1;2;;1;street;2024-10-28 22:25:35.158870;2024-11-01 14:41:49.195025
17;164416029;cosmetic;94.00;61.00;13.00;3.20;2;0;3;1;0;yardAndStreet;2024-10-28 22:26:03.015734;2024-11-01 14:41:49.816740
18;165105530;no;58.00;30.00;12.00;;0;0;2;0;1;yard;2024-10-28 22:26:15.982744;2024-11-01 14:41:51.158735
19;165355018;cosmetic;51.00;32.00;9.00;2.64;1;;2;1;;street;2024-10-28 22:26:41.580270;2024-11-01 14:41:57.012688
20;165699931;euro;41.00;23.00;9.00;2.60;;1;2;;1;yard;2024-10-28 22:27:09.632424;2024-11-01 14:41:58.358170
21;166434310;cosmetic;82.80;48.60;8.50;2.70;0;1;3;1;0;yard;2024-10-28 22:27:27.125187;2024-11-01 14:41:58.980402
22;167168480;design;115.00;77.00;15.00;3.10;;;3;;2;street;2024-10-28 22:27:56.434601;2024-11-01 14:41:59.898739
23;168222461;euro;111.50;77.00;9.50;3.00;0;1;4;1;1;yard;2024-10-28 22:28:17.122269;2024-11-01 14:42:00.786464
24;168743960;euro;97.00;60.00;18.00;;1;;2;;2;yard;2024-10-28 22:28:32.091482;2024-11-01 14:42:01.980524
25;169092708;cosmetic;78.20;44.30;12.30;;0;1;3;1;0;yardAndStreet;2024-10-28 22:28:42.803350;2024-11-01 14:42:08.086093
26;169568802;design;412.00;272.00;26.00;3.40;;1;5;;4;yardAndStreet;2024-10-28 22:29:09.712280;2024-11-01 14:42:09.007631
27;170637417;no;240.00;150.00;15.00;;;;6;;;yardAndStreet;2024-10-28 22:29:31.503328;2024-11-01 14:42:09.651551
28;171750307;design;77.00;50.00;10.00;2.75;;;3;1;1;yard;2024-10-28 22:29:57.531435;2024-11-01 14:42:10.520808
29;177562997;cosmetic;54.20;28.00;10.00;;;;2;1;;yardAndStreet;2024-10-28 22:30:34.360593;2024-11-01 14:42:11.184607
30;177577242;cosmetic;65.50;40.60;8.60;2.64;;1;3;1;;yardAndStreet;2024-10-28 22:30:52.071647;2024-11-01 14:42:12.941677
31;179176213;euro;164.00;123.00;25.00;3.30;0;0;5;3;0;yardAndStreet;2024-10-28 22:31:03.853085;2024-11-01 14:42:18.918746
32;181514552;design;100.00;72.00;20.00;;;1;3;;3;yardAndStreet;2024-10-28 22:31:26.245628;2024-11-01 14:42:19.610654
33;181669146;euro;85.60;57.00;12.00;2.85;;3;3;;2;street;2024-10-28 22:31:36.830181;2024-11-01 14:42:20.373226
34;182376736;cosmetic;40.00;25.00;6.00;2.64;0;0;2;1;0;yard;2024-10-28 22:31:54.391058;2024-11-01 14:42:21.454486
35;182550005;no;39.70;15.00;10.00;2.64;1;1;1;;1;yard;2024-10-28 22:33:27.499579;2024-11-01 14:42:22.341330
36;183938343;design;202.00;;;;;;4;;2;;2024-10-28 22:33:55.087460;2024-11-01 14:42:23.645446
37;187368517;design;79.00;57.00;18.00;31.00;1;0;2;0;1;yard;2024-10-28 22:34:21.833545;2024-11-01 14:42:30.009276
38;190263864;no;230.00;;48.00;3.00;0;4;4;2;2;yardAndStreet;2024-10-28 22:34:34.973606;2024-11-01 14:42:30.687370
39;191199132;euro;47.00;28.00;12.00;2.64;2;0;2;1;0;street;2024-10-28 22:34:55.820044;2024-11-01 14:42:31.807657
40;191273595;design;102.70;73.00;12.00;2.64;;1;4;;1;yardAndStreet;2024-10-28 22:35:07.926648;2024-11-01 14:42:32.464077
41;192707468;no;91.00;70.00;10.00;;0;0;3;1;0;street;2024-10-28 22:35:19.187010;2024-11-01 14:42:33.024763
42;192784540;design;100.00;80.00;;;1;;4;;1;yardAndStreet;2024-10-28 22:35:36.462791;2024-11-01 14:42:34.272888
43;194036691;cosmetic;44.50;30.00;6.00;2.48;1;0;2;0;1;yard;2024-10-28 22:36:02.465814;2024-11-01 14:42:40.855525
44;194429125;no;462.00;280.00;;;;1;6;3;;street;2024-10-28 22:36:18.063270;2024-11-01 14:42:41.639148
45;195907938;cosmetic;46.90;30.30;8.00;;;;3;;1;yardAndStreet;2024-10-28 22:36:33.404626;2024-11-01 14:42:42.700674
46;196482679;design;40.00;28.00;10.00;2.64;1;0;1;1;0;street;2024-10-28 22:36:57.322679;2024-11-01 14:42:43.316466
47;196903723;euro;45.00;30.00;7.00;;1;;2;;1;yard;2024-10-28 22:37:12.446293;2024-11-01 14:42:44.074128
48;197214440;no;950.00;;;;1;1;6;4;4;yardAndStreet;2024-10-28 22:37:24.031258;2024-11-01 14:42:45.013575
49;197699645;no;102.00;60.00;14.00;2.85;0;2;3;2;0;yardAndStreet;2024-10-28 22:37:48.964546;2024-11-01 14:42:51.531686
50;198144198;euro;98.00;62.00;20.00;;;1;3;;2;yard;2024-10-28 22:38:18.892522;2024-11-01 14:42:52.551419
51;198782509;euro;110.00;90.00;9.00;4.00;0;0;3;0;1;yardAndStreet;2024-10-28 22:38:35.903761;2024-11-01 14:42:53.433105
52;199432455;cosmetic;34.60;19.00;6.50;2.64;0;1;1;0;1;yardAndStreet;2024-10-28 22:38:49.378027;2024-11-01 14:42:54.110020
53;200212370;euro;43.00;21.00;10.10;;0;1;1;0;1;yard;2024-10-28 22:39:19.310753;2024-11-01 14:42:54.791657
54;200828608;no;271.70;220.00;25.00;3.40;1;0;5;0;4;yardAndStreet;2024-10-28 22:39:45.619200;2024-11-01 14:42:55.540759
55;201225506;cosmetic;41.00;;9.60;2.60;0;1;1;0;1;yardAndStreet;2024-10-28 22:40:14.217904;2024-11-01 14:43:02.254520
56;201379486;cosmetic;62.00;38.00;9.00;3.00;1;;2;1;;street;2024-10-28 22:40:33.222986;2024-11-01 14:43:03.291776
57;202436594;no;110.00;88.00;17.00;3.00;0;0;3;3;0;yard;2024-10-28 22:41:07.530969;2024-11-01 14:43:04.046610
58;203074317;cosmetic;39.00;;;;0;0;2;0;0;;2024-10-28 22:41:25.950174;2024-11-01 14:43:04.637070
59;203819272;no;110.40;;;;;;3;1;2;yard;2024-10-28 22:41:40.929239;2024-11-01 14:43:05.866082
60;204124494;cosmetic;64.00;;13.00;;1;;2;1;;yardAndStreet;2024-10-28 22:41:59.101560;2024-11-01 14:43:06.533658
61;204969322;euro;56.00;34.00;10.00;2.64;1;;2;1;;yard;2024-10-28 22:42:16.398575;2024-11-01 14:43:12.806916
62;205475369;cosmetic;90.00;50.00;11.00;2.64;;2;3;0;2;yard;2024-10-28 22:42:32.816435;2024-11-01 14:43:13.985714
63;206466216;cosmetic;54.00;16.20;10.00;2.48;1;;2;;;;2024-10-28 22:43:01.516697;2024-11-01 14:43:14.951472
64;207555074;euro;55.00;32.00;10.00;3.10;;;2;;1;street;2024-10-28 22:43:16.737476;2024-11-01 14:43:15.975047
65;207687609;cosmetic;42.00;28.00;6.00;2.64;;;2;1;;street;2024-10-28 22:43:32.204324;2024-11-01 14:43:16.667232
66;207924488;design;600.00;;;3.20;;1;6;2;2;yardAndStreet;2024-10-28 22:43:51.658117;2024-11-01 14:43:17.446748
67;208500430;;45.50;28.00;;;;;1;;1;yard;2024-10-28 22:44:07.504991;2024-11-01 14:43:26.291110
68;209040594;no;409.90;;;;;;6;;4;street;2024-10-28 22:44:34.702351;2024-11-01 14:43:26.946302
69;209040915;no;275.50;;;;;;5;;4;street;2024-10-28 22:44:59.586822;2024-11-01 14:43:28.137746
70;209082460;no;128.00;70.00;15.00;3.20;;;3;;3;street;2024-10-28 22:45:17.758243;2024-11-01 14:43:28.782021
71;209735944;euro;347.00;165.00;30.00;;;1;6;1;3;;2024-10-28 22:45:32.877279;2024-11-01 14:43:29.420257
72;210047241;no;66.70;32.00;24.00;;0;0;3;0;2;yard;2024-10-28 22:51:03.489249;2024-11-01 14:43:30.249204
73;210880477;cosmetic;63.00;34.00;13.00;2.74;0;2;2;1;0;;2024-10-28 22:51:31.125962;2024-11-01 14:43:37.235024
74;210884814;euro;80.00;51.00;13.00;3.00;0;2;3;1;0;yard;2024-10-28 22:51:53.877841;2024-11-01 14:43:38.454415
75;211463786;design;106.00;;50.00;6.00;0;0;2;0;0;;2024-10-28 22:52:22.187003;2024-11-01 14:43:39.339473
76;211521310;design;111.30;69.20;8.70;;1;;3;;2;yard;2024-10-28 22:52:38.983149;2024-11-01 14:43:39.995905
77;211524760;euro;31.00;12.00;12.00;3.30;0;0;1;0;1;yard;2024-10-28 22:52:59.663905;2024-10-28 22:52:59.663905
78;211851806;no;111.00;63.00;16.00;;;;3;;2;yard;2024-10-28 22:53:20.642405;2024-11-01 14:44:41.297932
79;211905568;cosmetic;92.00;57.00;15.00;;;;3;;;;2024-10-28 22:53:49.486244;2024-11-01 14:44:42.062939
80;212568784;cosmetic;90.20;56.10;13.50;2.75;1;0;4;1;0;yard;2024-10-28 22:54:17.502359;2024-11-01 14:44:48.452547
81;215547130;euro;101.00;;;;;;3;;2;yard;2024-10-28 22:54:32.413066;2024-11-01 14:44:49.382125
82;216269282;euro;54.00;32.00;9.00;;0;1;2;0;1;yardAndStreet;2024-10-28 22:54:52.915985;2024-11-01 14:44:50.398843
83;217701600;design;52.00;32.00;14.00;3.00;;1;2;;1;street;2024-10-28 22:55:23.503080;2024-11-01 14:44:51.151105
84;217724612;euro;73.70;45.00;11.00;;;;3;1;;yard;2024-10-28 22:55:46.495597;2024-11-01 14:44:52.806686
85;217791998;no;685.00;;;4.00;;;;;4;street;2024-10-28 22:56:38.276092;2024-11-01 14:44:59.036468
86;217811294;cosmetic;107.00;;;3.00;0;2;3;2;0;street;2024-10-28 22:56:54.831410;2024-11-01 14:45:00.118787
87;217908994;design;70.00;55.00;15.00;3.00;1;0;2;0;1;yard;2024-10-28 22:57:06.618619;2024-11-01 14:45:02.420758
88;218418212;cosmetic;90.00;65.00;9.00;;;1;4;1;;;2024-10-28 22:57:27.489681;2024-11-01 14:45:03.044484
89;218427491;design;84.00;41.90;17.00;;;1;3;;2;yard;2024-10-28 22:57:41.496896;2024-11-01 14:45:03.982137
90;219584211;no;693.00;350.00;30.00;3.40;2;;;1;3;yardAndStreet;2024-10-28 22:58:09.650125;2024-11-01 14:45:09.776699
91;219586445;euro;60.70;33.80;15.00;;0;0;2;0;0;yard;2024-10-28 22:58:37.487376;2024-11-01 14:45:10.808804
92;220126243;euro;149.00;115.00;14.00;5.00;0;0;4;2;0;street;2024-10-28 22:59:06.151436;2024-11-01 14:45:13.155236
93;220523527;cosmetic;117.50;;;3.05;0;0;5;0;1;yardAndStreet;2024-10-28 22:59:21.724541;2024-11-01 14:45:13.881864
94;220802088;euro;44.00;;21.00;;;;2;;1;;2024-10-28 22:59:49.164859;2024-11-01 14:45:14.745491
95;220843185;euro;65.00;37.00;12.00;3.00;1;1;2;1;0;street;2024-10-28 23:00:16.418351;2024-11-01 14:45:20.295058
96;220858081;cosmetic;61.20;32.60;11.50;3.00;0;1;2;0;1;yard;2024-10-28 23:00:42.436746;2024-11-01 14:45:21.502268
97;220912363;design;85.00;;;;;;2;;2;;2024-10-28 23:00:58.640044;2024-11-01 14:45:23.896288
98;221846784;cosmetic;64.10;47.30;9.20;2.64;2;0;3;2;0;street;2024-10-28 23:01:12.256704;2024-11-01 14:45:24.889908
99;222475023;no;58.00;36.50;9.00;;1;;2;1;;street;2024-10-28 23:01:25.006402;2024-11-01 14:45:25.754986
100;222491593;no;45.10;29.00;6.80;2.65;0;0;2;1;0;yard;2024-10-28 23:01:48.492481;2024-11-01 14:45:26.468416
101;222900218;euro;88.00;50.00;9.00;;;2;3;1;;yard;2024-10-28 23:02:15.269557;2024-11-01 14:45:31.031984
102;223287010;cosmetic;31.00;19.00;5.50;2.48;0;1;1;0;1;street;2024-10-28 23:02:27.077852;2024-11-01 14:45:32.237090
103;224071057;no;73.80;42.00;16.90;;1;0;3;0;0;;2024-10-28 23:02:49.730746;2024-11-01 14:45:34.571858
104;224851545;no;59.90;40.00;7.00;2.50;0;1;3;1;0;yard;2024-10-28 23:03:18.822965;2024-11-01 14:45:35.477202
105;225113692;cosmetic;33.70;15.50;10.50;;1;1;1;0;0;yard;2024-10-28 23:03:42.466666;2024-11-01 14:45:36.441988
106;225701461;cosmetic;36.00;;10.00;2.64;1;0;1;0;0;;2024-10-28 23:04:05.332003;2024-11-01 14:45:37.192237
