id;cian_id;build_year;entrances;material_type;parking_type;garbage_chute;lifts_count;passenger_lifts;cargo_lifts;created_at;updated_at
1;3184068;2001;1;monolith;underground;True;2;1;1;;2024-11-01 14:41:24.704639
2;3270867;2003;4;block;underground;True;4;2;2;;2024-11-01 14:41:26.235642
3;140926344;1920;1;none;;;;;;;2024-11-01 14:41:27.053693
4;149566184;2016;;monolith;underground;;4;3;1;;2024-11-01 14:41:27.676801
5;150959906;2008;2;brick;underground;True;2;1;1;;2024-11-01 14:41:28.669001
6;151243629;2008;1;brick;underground;;;;;;2024-11-01 14:41:29.848891
7;151426554;1961;8;brick;ground;True;1;1;;;2024-11-01 14:41:35.486646
8;152725255;2008;3;monolith;underground;True;3;1;2;;2024-11-01 14:41:36.959204
9;152953585;2009;12;monolithBrick;underground;False;;;;;2024-11-01 14:41:37.664058
10;152953661;2009;12;monolithBrick;underground;False;;;;;2024-11-01 14:41:38.394836
11;152953734;2009;12;monolithBrick;underground;False;;;;;2024-11-01 14:41:39.178453
12;153450136;2009;7;brick;underground;False;;;;;2024-11-01 14:41:40.570314
13;159979025;1990;4;panel;ground;True;2;1;1;;2024-11-01 14:41:46.297444
14;163021767;2010;7;block;underground;True;1;1;;;2024-11-01 14:41:47.673320
15;164011436;;;;underground;True;2;1;1;;2024-11-01 14:41:48.427586
16;164353514;2012;6;panel;ground;True;2;1;1;;2024-11-01 14:41:49.202031
17;164416029;1940;5;none;ground;;1;1;0;;2024-11-01 14:41:49.823796
18;165105530;2010;3;brick;;False;;0;0;;2024-11-01 14:41:51.164580
19;165355018;1991;5;panel;ground;True;2;1;1;;2024-11-01 14:41:57.020939
20;165699931;1967;1;block;ground;True;2;2;;;2024-11-01 14:41:58.365427
21;166434310;1996;3;panel;ground;True;1;1;0;;2024-11-01 14:41:58.986396
22;167168480;1998;1;none;ground;;;;;;2024-11-01 14:41:59.905295
23;168222461;2002;3;monolith;underground;True;3;2;1;;2024-11-01 14:42:00.794558
24;168743960;1998;1;monolith;underground;True;2;1;1;;2024-11-01 14:42:01.987369
25;169092708;2012;3;brick;ground;True;2;1;1;;2024-11-01 14:42:08.091406
26;169568802;2006;1;monolith;underground;True;8;4;4;;2024-11-01 14:42:09.015246
27;170637417;1913;7;none;;;1;1;;;2024-11-01 14:42:09.656632
28;171750307;2013;4;panel;;True;1;1;;;2024-11-01 14:42:10.528025
29;177562997;1905;5;brick;;True;;;;;2024-11-01 14:42:11.192235
30;177577242;1976;1;none;ground;True;2;1;1;;2024-11-01 14:42:12.947675
31;179176213;2000;1;none;underground;False;1;1;0;;2024-11-01 14:42:18.924167
32;181514552;2015;;monolith;underground;True;4;2;2;;2024-11-01 14:42:19.615300
33;181669146;2011;7;monolith;multilevel;True;3;2;1;;2024-11-01 14:42:20.378689
34;182376736;1967;1;block;;True;2;1;1;;2024-11-01 14:42:21.459112
35;182550005;2015;1;panel;ground;True;3;2;1;;2024-11-01 14:42:22.348560
36;183938343;2007;4;none;underground;True;3;1;2;;2024-11-01 14:42:23.651215
37;187368517;2008;1;monolith;underground;True;4;2;2;;2024-11-01 14:42:30.014680
38;190263864;2002;6;none;underground;;2;1;1;;2024-11-01 14:42:30.693113
39;191199132;1969;1;block;;True;2;2;0;;2024-11-01 14:42:31.814240
